SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
125,False,1,96100000,27.4986111761727,27.0358731390633,26.3907849432625,---,-20.412275012445,-11.0573632082458,0,9000,CISPR,2018/11/29 20:13:52,,False
126,False,1,97200000,26.2017132879891,25.7140423895516,25.0343167425789,---,-21.7748465026975,-12.4545721496701,0,9000,CISPR,2018/11/29 20:13:55,,False
127,False,1,97600000,25.5786969305672,25.1633145453133,24.4297787787118,---,-22.3403891617506,-13.0739249283521,0,9000,CISPR,2018/11/29 20:13:57,,False
128,False,1,98500000,24.5064770819344,23.9008481146493,23.0870968939461,---,-23.636188925748,-14.4499401464511,0,9000,CISPR,2018/11/29 20:13:59,,False
129,False,1,99700000,23.3451077582039,22.7483822943368,21.8097989203133,---,-24.8330991905049,-15.7716825645283,0,9000,CISPR,2018/11/29 20:14:02,,False
130,False,1,100000000,23.2241208197274,22.6484067083993,21.729888641993,---,-24.9441858875535,-15.8627039539598,0,9000,CISPR,2018/11/29 20:14:04,,False
131,False,1,100300000,23.3517987372078,22.6803815008797,21.7240750433602,---,-24.9233222061842,-15.8796286637037,0,9000,CISPR,2018/11/29 20:14:06,,False
132,False,1,100800000,23.6747204901375,23.0982052923836,22.1767422796883,---,-24.5240169331988,-15.4454799458941,0,9000,CISPR,2018/11/29 20:14:09,,False
133,False,1,101200000,24.3022076727547,23.6638638617196,22.7617108465828,---,-23.9731731786777,-14.8753261938144,0,9000,CISPR,2018/11/29 20:14:11,,False
134,False,1,102700000,27.2990262152352,26.8582684637703,26.1439969183602,---,-20.8343241321824,-11.5485956775926,0,9000,CISPR,2018/11/29 20:14:13,,False
135,False,1,104400000,30.0141217352547,29.7208249212899,29.0890118719735,---,-18.0347306376259,-8.66654368694228,0,9000,CISPR,2018/11/29 20:14:15,,False
136,False,1,105200000,30.4751813055672,30.1947552801766,29.5899731756844,---,-17.5904299083688,-8.19521201286096,0,9000,CISPR,2018/11/29 20:14:18,,False
137,False,1,105700000,30.5361249090828,30.2286908270516,29.6277844549813,---,-17.5750128800123,-8.17591925208261,0,9000,CISPR,2018/11/29 20:14:20,,False
138,False,1,106000000,30.5163266302743,30.168723786036,29.5607220770516,---,-17.646091032139,-8.2540927411234,0,9000,CISPR,2018/11/29 20:14:22,,False
139,False,1,106400000,30.4497525335946,30.1235959173836,29.5225445868172,---,-17.7060337156062,-8.3070850461726,0,9000,CISPR,2018/11/29 20:14:25,,False
140,False,1,106800000,30.2214505316414,29.9725949408211,29.365989411036,---,-17.8718495069835,-8.47845503676866,0,9000,CISPR,2018/11/29 20:14:27,,False
141,False,1,107200000,30.0303723456063,29.761382782618,29.1394192816414,---,-18.0978764800014,-8.71983998097801,0,9000,CISPR,2018/11/29 20:14:29,,False
142,False,1,107400000,30.0148312689461,29.6445920111336,29.0377347113289,---,-18.2220746588932,-8.82893195869791,0,9000,CISPR,2018/11/29 20:14:32,,False
143,False,1,107700000,29.7901379706063,29.4608914496102,28.8455502630868,---,-18.4168863315278,-9.03222751805122,0,9000,CISPR,2018/11/29 20:14:34,,False
144,False,1,108600000,29.3139721991219,28.999908173243,28.3440091253914,---,-18.9112029412283,-9.56710198907986,0,9000,CISPR,2018/11/29 20:14:36,,False
145,False,1,109100000,28.9081570746102,28.6106488348641,27.9370495917,---,-19.3189807981257,-9.99258004128978,0,9000,CISPR,2018/11/29 20:14:39,,False
